row | margin_down | margin_up | delta | y_down | y_up | delta_y | rowH_down | lastRowShaped_down | lastRowShaped_up | inBand_up | nudge_up | pull_up | pbDisarm_up
upcoming | 44 | - | - | 372 | - | - | 360 | 0 | - | - | - | - | -
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:movie:recs_movies_for_you | -22 | -22 | 0 | 798 | 798 | 0 | 508 | 0 | 0 | 0 | 0 | 2 | 1
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:series:recs_series_for_you | 0 | -23 | 23 | 1284 | 1307 | -23 | 508 | 0 | 0 | 0 | 0 | 2 | 1
collection-erfs5gwk-community-2 | 44 | 127 | -83 | 1748 | 1665 | 83 | 379 | 0 | 0 | 0 | 0 | 2 | 1
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:movie:recs_because_movies | 0 | -22 | 22 | 2171 | 2193 | -22 | 508 | 0 | 0 | 0 | 0 | 2 | 1
collection-hftcv0ta-community | 0 | -22 | 22 | 2679 | 2701 | -22 | 496 | 0 | 0 | 0 | 0 | 2 | 1
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:series:recs_because_series | 0 | -22 | 22 | 3175 | 3197 | -22 | 508 | 0 | 0 | 0 | 0 | 2 | 1
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:movie:snoak_top100_movies | 0 | -22 | 22 | 3683 | 3705 | -22 | 508 | 0 | 0 | 0 | 0 | 2 | 1
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:series:snoak_top100_series | 0 | -22 | 22 | 4191 | 4213 | -22 | 508 | 0 | 0 | 0 | 0 | 2 | 1
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:movie:trending_movies | 0 | -22 | 22 | 4699 | 4721 | -22 | 508 | 0 | 0 | 0 | 0 | 2 | 1
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:series:trending_series | 0 | -22 | 22 | 5207 | 5229 | -22 | 508 | 0 | 0 | 0 | 0 | 2 | 1
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:movie:new_latest_releases_movies | 0 | -22 | 22 | 5715 | 5737 | -22 | 508 | 0 | 0 | 0 | 0 | 2 | 1
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:series:new_latest_airing_shows_series | 0 | -22 | 22 | 6223 | 6245 | -22 | 508 | 0 | 0 | 0 | 0 | 2 | 1
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:movie:snoak_latest_netflix_movies | 44 | -22 | 66 | 6687 | 6753 | -66 | 508 | 0 | 0 | 0 | 0 | 2 | 1
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:series:snoak_latest_netflix_series | 0 | -22 | 22 | 7239 | 7261 | -22 | 508 | 0 | 0 | 0 | 0 | 2 | 1
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:movie:snoak_latest_prime_movies | 0 | -23 | 23 | 7746 | 7769 | -23 | 508 | 0 | 0 | 0 | 0 | 2 | 1
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:series:snoak_latest_prime_series | 0 | -22 | 22 | 8254 | 8276 | -22 | 508 | 0 | 0 | 0 | 0 | 2 | 1
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:movie:snoak_latest_disney_movies | 0 | -22 | 22 | 8762 | 8784 | -22 | 508 | 0 | 0 | 0 | 0 | 2 | 1
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:series:snoak_latest_disney_series | 0 | -22 | 22 | 9270 | 9292 | -22 | 508 | 0 | 0 | 0 | 0 | 2 | 1
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:movie:snoak_latest_apple_movies | 0 | -22 | 22 | 9778 | 9800 | -22 | 508 | 0 | 0 | 0 | 0 | 2 | 1
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:series:snoak_latest_apple_series | 0 | -22 | 22 | 10286 | 10308 | -22 | 508 | 0 | 0 | 0 | 0 | 2 | 1
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:movie:snoak_latest_paramount_movies | 0 | -22 | 22 | 10794 | 10816 | -22 | 508 | 0 | 0 | 0 | 0 | 2 | 1
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:series:snoak_latest_paramount_series | 0 | -22 | 22 | 11302 | 11324 | -22 | 508 | 0 | 0 | 0 | 0 | 2 | 1
com.aicat.3bf83703-56e9-4e2e-aa75-812122fb0b99.nuvio:movie:aicat_list_81024 | 0 | -22 | 22 | 11810 | 11832 | -22 | 508 | 0 | 0 | 0 | 0 | 2 | 1
com.aicat.3bf83703-56e9-4e2e-aa75-812122fb0b99.nuvio:series:aicat_list_81025 | -23 | -23 | 0 | 12341 | 12341 | 0 | 508 | 0 | 0 | 0 | 0 | 2 | 1
com.aicat.3bf83703-56e9-4e2e-aa75-812122fb0b99.nuvio:movie:aicat_list_81026 | -22 | -22 | 0 | 12848 | 12848 | 0 | 508 | 0 | 0 | 0 | 0 | 2 | 1
com.aicat.3bf83703-56e9-4e2e-aa75-812122fb0b99.nuvio:series:aicat_list_81027 | -22 | -22 | 0 | 13356 | 13356 | 0 | 508 | 0 | 0 | 0 | 0 | 2 | 1
com.aicat.3bf83703-56e9-4e2e-aa75-812122fb0b99.nuvio:movie:aicat_random_public_movie | -22 | -22 | 0 | 13864 | 13864 | 0 | 508 | 0 | 0 | 0 | 0 | 2 | 1
com.aicat.3bf83703-56e9-4e2e-aa75-812122fb0b99.nuvio:series:aicat_random_public_series | -22 | -22 | 0 | 14372 | 14372 | 0 | 508 | 0 | 0 | 0 | 0 | 2 | 1
com.aicat.3bf83703-56e9-4e2e-aa75-812122fb0b99.nuvio:movie:aicat_streamservice_2261316 | -22 | -22 | 0 | 14880 | 14880 | 0 | 508 | 0 | 0 | 0 | 0 | 2 | 1
com.aicat.3bf83703-56e9-4e2e-aa75-812122fb0b99.nuvio:series:aicat_streamservice_2261317 | -22 | -22 | 0 | 15388 | 15388 | 0 | 508 | 0 | 0 | 0 | 0 | 2 | 1
com.aicat.3bf83703-56e9-4e2e-aa75-812122fb0b99.nuvio:movie:aicat_streamservice_2261318 | -22 | -22 | 0 | 15896 | 15896 | 0 | 508 | 0 | 0 | 0 | 0 | 2 | 1
com.aicat.3bf83703-56e9-4e2e-aa75-812122fb0b99.nuvio:series:aicat_streamservice_2261319 | -22 | -22 | 0 | 16404 | 16404 | 0 | 508 | 0 | 0 | 0 | 0 | 2 | 1
com.aicat.3bf83703-56e9-4e2e-aa75-812122fb0b99.nuvio:series:aicat_streamservice_2261320 | -23 | -23 | 0 | 16912 | 16912 | 0 | 508 | 0 | 0 | 0 | 0 | 2 | 1
com.aicat.3bf83703-56e9-4e2e-aa75-812122fb0b99.nuvio:movie:aicat_streamservice_2261321 | -22 | -22 | 0 | 17419 | 17419 | 0 | 508 | 0 | 0 | 0 | 0 | 2 | 1
community.betterposters:movie:trakt-trending | -22 | -22 | 0 | 17927 | 17927 | 0 | 508 | 0 | 0 | 0 | 0 | 2 | 1
community.betterposters:series:trakt-trending | -18 | - | - | 18431 | - | - | 516 | 1 | - | - | - | - | -

median(margin_down-margin_up)=22.0 max=66 over 35 row(s) with both samples; last row 'community.betterposters:series:trakt-trending' rowH_down=516 lastRowShaped_down=1
